指标,地区,时间,数值
中央补助收入（万元）,内蒙古自治区,2009,10231959.00000
中央补助收入（万元）,内蒙古自治区,2010,11554000.00000
中央补助收入（万元）,内蒙古自治区,2011,15692600.00000
中央补助收入（万元）,内蒙古自治区,2012,17487400.00000
中央补助收入（万元）,内蒙古自治区,2013,17800600.00000
中央补助收入（万元）,内蒙古自治区,2014,18792800.00000
中央补助收入（万元）,内蒙古自治区,2015,21354900.00000
中央补助收入（万元）,内蒙古自治区,2016,23762100.00000
中央补助收入（万元）,内蒙古自治区,2017,25231500.00000
中央补助收入（万元）,内蒙古自治区,2018,26273700.00000
中央补助收入（万元）,内蒙古自治区,2019,26457400.00000
中央补助收入（万元）,内蒙古自治区,2020,27873800.00000
中央补助收入（万元）,内蒙古自治区,2021,28958400.00000
中央补助收入（万元）,内蒙古自治区,2022,32797300.00000
中央补助收入（万元）,内蒙古自治区,2023,36521300.00000
中央补助收入（万元）,内蒙古自治区,2024,34780500.00000
中央补助收入（万元）,辽宁省,1995,1532553.00000
中央补助收入（万元）,辽宁省,1996,1579053.00000
中央补助收入（万元）,辽宁省,1997,1279239.00000
中央补助收入（万元）,辽宁省,1998,1818898.00000
中央补助收入（万元）,辽宁省,1999,2298627.00000
中央补助收入（万元）,辽宁省,2000,2782047.00000
中央补助收入（万元）,辽宁省,2001,3364123.00000
中央补助收入（万元）,辽宁省,2002,3550609.00000
中央补助收入（万元）,辽宁省,2003,4122792.00000
中央补助收入（万元）,辽宁省,2004,4785087.00000
中央补助收入（万元）,辽宁省,2005,5252281.00000
中央补助收入（万元）,辽宁省,2006,6191055.00000
中央补助收入（万元）,辽宁省,2007,7349315.00000
中央补助收入（万元）,辽宁省,2008,8678040.00000
中央补助收入（万元）,辽宁省,2009,10980115.00000
中央补助收入（万元）,辽宁省,2010,12435100.00000
中央补助收入（万元）,辽宁省,2011,15057700.00000
中央补助收入（万元）,辽宁省,2012,16536800.00000
中央补助收入（万元）,辽宁省,2013,16821400.00000
中央补助收入（万元）,辽宁省,2014,17812300.00000
中央补助收入（万元）,辽宁省,2015,19249900.00000
中央补助收入（万元）,辽宁省,2016,21252400.00000
中央补助收入（万元）,辽宁省,2017,23197900.00000
中央补助收入（万元）,辽宁省,2018,24640400.00000
中央补助收入（万元）,辽宁省,2019,25888800.00000
中央补助收入（万元）,辽宁省,2020,30353500.00000
中央补助收入（万元）,辽宁省,2021,29759300.00000
中央补助收入（万元）,辽宁省,2022,34364300.00000
中央补助收入（万元）,辽宁省,2023,36251800.00000
中央补助收入（万元）,辽宁省,2024,35104300.00000
中央补助收入（万元）,    大连市,1995,306286.00000
中央补助收入（万元）,    大连市,1996,
中央补助收入（万元）,    大连市,1997,308689.00000
中央补助收入（万元）,    大连市,1998,349006.00000
中央补助收入（万元）,    大连市,1999,310069.00000
中央补助收入（万元）,    大连市,2000,404826.00000
中央补助收入（万元）,    大连市,2001,428988.00000
中央补助收入（万元）,    大连市,2002,503153.00000
中央补助收入（万元）,    大连市,2003,552848.00000
中央补助收入（万元）,    大连市,2004,692913.00000
中央补助收入（万元）,    大连市,2005,643147.00000
中央补助收入（万元）,    大连市,2006,679637.00000
中央补助收入（万元）,    大连市,2007,720691.00000
中央补助收入（万元）,    大连市,2008,781281.00000
中央补助收入（万元）,    大连市,2009,925746.00000
